PROVINCIA,DIA,HORA,FERIADO,CAUSA_PROBABLE,CLASE_FINAL,ZONA,TIPO_DE_VEHICULO_1,SERVICIO_1,EDAD_1,SEXO_1,CONDICION_1,PARTICIPANTE_1
GUAYAS,MIERCOLES,P01,SI,CP13,ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
MANABI,MIERCOLES,P05,SI,CP22,CHOQUE LATERAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,LESIONADO,PASAJERO
LOS RIOS,MIERCOLES,P03,SI,CP11,CHOQUE POSTERIOR,RURAL,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P03,SI,CP13,ATROPELLOS,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P07,SI,CP17,CHOQUE FRONTAL,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P04,SI,CP13,PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P04,SI,CP17,CHOQUE FRONTAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P07,SI,CP12,ROZAMIENTOS,RURAL,BUS,PUBLICO,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P07,SI,CP13,ESTRELLAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P09,SI,CP13,ATROPELLOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
