PROVINCIA,DIA,HORA,FERIADO,CAUSA PROBABLE,CLASE FINAL,ZONA,TIPO DE VEHÍCULO 1,SERVICIO 1,EDAD 1,SEXO 1,CONDICIÓN 1,PARTICIPANTE 1
GUAYAS,MIERCOLES,01:10:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
MANABI,MIERCOLES,05:15:00,SI,"NO RESPETAR LAS SENALES REGLAMENTARIAS DE TRANSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,LESIONADO,PASAJERO
LOS RIOS,MIERCOLES,03:10:00,SI,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHICULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,RURAL,MOTOCICLETA,PARTICULAR,-1,NO IDENTIFICADO,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,03:10:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,07:30:00,SI,CONDUCIR EN SENTIDO CONTRARIO A LA VIA NORMAL DE CIRCULACION.,CHOQUE FRONTAL,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,04:30:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,04:00:00,SI,CONDUCIR EN SENTIDO CONTRARIO A LA VIA NORMAL DE CIRCULACION.,CHOQUE FRONTAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,07:00:00,SI,NO GUARDAR LA DISTANCIA LATERAL MINIMA DE SEGURIDAD ENTRE VEHICULOS.,ROZAMIENTOS,RURAL,BUS,PUBLICO,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,07:00:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,09:00:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
